All Establishment Details,,,,,,,,,,,,
Mar-17,,,,,,,,,,,,
Report Date: 05/01/2017 08:52 AM,,,,,,,,,,,,
Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
"TLGM, INC.",160702735,Mattoon,5,221616.58,200449.09,21167.49,64658,43490.51,21167.49,6350.36,5291.97,1058.39
"TMEE ENTERPRISES, INC.",160700576,Decatur,4,47407.16,43274.14,4133.02,16835,12701.88,4133.12,1239.94,1033.29,206.65
TNS BAR ENTERPRISES INC.,140701103,Peoria,3,91606.83,85000.04,6606.79,33260,26653.21,6606.79,1982.03,1651.69,330.34
"TNT Gas-Mart, Inc.",120700650,Smithboro,5,270739.18,252799.43,17939.75,76704,58764.25,17939.75,5382.02,4485.02,897
To Tu Cafe Corp.,130702451,River Grove,3,30588.21,26897.89,3690.32,7803,4112.68,3690.32,1107.12,922.6,184.52
"TO-Kou, Inc. ",130702845,Germantown Hills,4,284377.01,265044.94,19332.07,76689,57356.93,19332.07,5799.65,4833.05,966.6
"TOAD STOOL, INC.",120703026,Rushville,4,155529.27,143931.22,11598.05,43435,31836.95,11598.05,3479.46,2899.55,579.91
"Tobin-Nanninga Detachment, Marine Corps League, Inc.",130706621,Tazewell County,5,101218.55,92124.14,9094.41,39322,30227.59,9094.41,2728.3,2273.58,454.72
"Tobys Restaurant & Grill, Inc.",120703358,North Chicago,5,613567.14,569953.43,43613.71,220850,177236.29,43613.71,13084.16,10903.47,2180.69
Todd G. Gray,120704340,Bridgeport,2,19959.65,17869.03,2090.62,5647,3556.38,2090.62,627.2,522.67,104.53
TODD R GLAS,120710330,Quincy,2,19219.94,17010.81,2209.13,8575,6365.89,2209.11,662.74,552.28,110.46
"TOI, Inc.",150700075,Monee,4,53377.88,50482.7,2895.18,20008,17112.82,2895.18,868.56,723.8,144.76
"TOJU BAY, INC.",130701410,Stone Park,3,118139.63,110694.33,7445.3,32848,25402.35,7445.65,2233.76,1861.47,372.29
Tom Bishop,120708319,Du Quoin,5,180719.98,164052.37,16667.61,59054,42386.39,16667.61,5000.36,4166.97,833.39
"TOM KELLY'S CHOPHOUSE & PUB, LLC",160700404,New Lenox,5,150881.71,136739.47,14142.24,60388,46245.81,14142.19,4242.65,3535.54,707.11
"Tom's Carryout, Inc.",120700636,Lyons,5,381341.85,354231.94,27109.91,111842,84732.09,27109.91,8133.05,6777.55,1355.5
Tom's Tavern LLC,130705890,Kempton,3,29308.31,26148.46,3159.85,11253,8093.21,3159.79,947.95,789.96,157.99
"TOMCZAK'S TAP, INC.",120707512,Wood Dale,3,175063.93,162684.94,12378.99,45851,33471.98,12379.02,3713.77,3094.81,618.96
"TOMMY O'CONNOR'S, INC.",120706950,Spring Grove,5,256543.17,235266.23,21276.94,81279,60002.1,21276.9,6383.1,5319.25,1063.85
"Tommy's on Waukegan, Inc.",120701354,Morton Grove,5,616198.1,562097.79,54100.31,165040,110939.69,54100.31,16230.12,13525.1,2705.02
"Tommy's Place, Inc.",120701208,Blue Island,5,185847.41,169164.35,16683.06,65856,49172.94,16683.06,5004.97,4170.81,834.16
"Tommy's Saloon, Inc.",140701906,Jerseyville,4,98091.21,89364.04,8727.17,31002,22275.42,8726.58,2618.09,2181.74,436.35
"Toms Place, Inc.",120700587,Lemont,5,218265.05,198987.36,19277.69,68104,48826.31,19277.69,5783.33,4819.44,963.89
"Tony Hsiao's, Inc.",130705821,Decatur,5,222219.84,208102.88,14116.96,66486,52369.04,14116.96,4235.11,3529.26,705.85
"Tony Spavone Ristorante, Inc.",140701097,Bloomingdale,3,66738.95,61124.14,5614.81,22138,16523.19,5614.81,1684.47,1403.73,280.74
"TONY V'S II, INC.",130702680,McHenry County,5,238122.98,216888.31,21234.67,69474,48239.57,21234.43,6370.33,5308.61,1061.72
"Tony's Breakfast Cafe, LLC",140704420,Brookfield,3,235784.54,227035.38,8749.16,60269,51519.84,8749.16,2624.83,2187.36,437.47
"Tony's Pizza of Beecher, Inc.",130706429,Beecher,2,68458.33,61108.46,7349.87,27146,19796.13,7349.87,2204.95,1837.46,367.49
"TONY'S PIZZA OF PEOTONE, INCORPORATED",120703188,Peotone,5,263552.12,246403.52,17148.6,54957,37808.39,17148.61,5144.62,4287.19,857.43
Tonys Tacos Incorporated,160701791,Normal,3,40814.06,36118.39,4695.67,14821,10125.36,4695.64,1408.72,1173.93,234.79
"Tookay's, Inc.",130705134,Auburn,4,112179.15,100746.7,11432.45,36852,25419.55,11432.45,3429.79,2858.16,571.63
"Top Hat Saloon, Inc.",120708415,La Salle County,3,51854.35,45995.64,5858.71,17050,11191.29,5858.71,1757.68,1464.73,292.95
"Top Set Management, LLC",120708502,Sangamon County,5,393923.45,371681.06,22242.39,144489,122246.82,22242.18,6672.7,5560.59,1112.11
"Top Shooters, Inc",120700166,Columbia,5,390718.06,362362.46,28355.6,104413,76057.54,28355.46,8506.74,7088.95,1417.79
"Torchlight Lounge, Inc.",120705339,East Moline,5,83055.84,76470.38,6585.46,25950,19364.54,6585.46,1975.62,1646.35,329.27
"Toulon Tap, LLC",120710896,Toulon,2,41120.34,35787.07,5333.27,14916,9582.73,5333.27,1600.02,1333.35,266.67
"TOWER OF PIZZA, INC.",120712260,Quincy,2,43826.6,40328.18,3498.42,17102,13603.58,3498.42,1049.52,874.6,174.92
"Town Club of Alton, Inc.",120701189,Alton,4,93032.84,85583.84,7449,21362,13913,7449,2234.74,1862.28,372.46
"Town Hall Bowling & Banquet Services, LLC",130703449,Cicero,5,235687.92,218349.55,17338.37,83086,65747.68,17338.32,5201.5,4334.59,866.91
"Town Hall Lounge, Inc.",120707724,Loves Park,5,217958.64,197286.15,20672.49,78598,57925.51,20672.49,6201.78,5168.15,1033.63
"TOWN LIQUORS OF ALGONQUIN, INC.",160701616,McHenry County,5,172400.62,156024.38,16376.24,57927,41550.76,16376.24,4912.9,4094.09,818.81
TOWN TAP WOODSTOCK LLC,140704188,Woodstock,5,212630.6,193891.48,18739.12,81510,62770.88,18739.12,5621.77,4684.81,936.96
"Town Tap, Inc.",120708196,Summit,5,699722.17,633713.78,66008.39,198578,132569.23,66008.77,19802.69,16502.25,3300.44
Townsend and Thommen Inc.,130705582,Warren,4,222608.55,203164.15,19444.4,53991,34546.53,19444.47,5833.37,4861.14,972.23
TPC Longshots Inc.,150703749,Joliet,5,530724.36,495212.02,35512.34,161235,125756.56,35478.44,10643.61,8869.68,1773.93
TPL Enterprises Inc.,120705950,Peoria,5,200897.63,186442.71,14454.92,64062,49607.08,14454.92,4336.52,3613.77,722.75
"TR RESTAURANT GROUP, INC.",120711742,Rockford,5,823850.88,770418.65,53432.23,271964,218531.92,53432.08,16029.64,13358.03,2671.61
"TRACKS ON GRAND, INC.",130704947,Lake Villa,5,203545.43,182890.74,20654.69,68588,47933.31,20654.69,6196.39,5163.66,1032.73
Tracy J. Glasgo,120710160,Kewanee,5,360061.68,332976.97,27084.71,131828,104743.32,27084.68,8125.43,6771.2,1354.23
Tracy's Supper-Club Inc.,140701764,Norris,2,53865.24,47541.09,6324.15,16767,10442.85,6324.15,1897.29,1581.08,316.21
"Traditions Bar, Inc.",120701201,Watseka,5,73471.54,67794.41,5677.13,23057,17379.87,5677.13,1703.2,1419.34,283.86
"Trailblazer Pub, Inc.",130705213,Sangamon County,5,345728.73,316563.23,29165.5,124497,95331.5,29165.5,8749.74,7291.45,1458.29
"Travan, Inc.",160702691,Spring Valley,4,21509.53,19395.81,2113.72,8170,6056.15,2113.85,634.18,528.48,105.7
"TRE AMICHE, INC.",130706136,Steger,5,231398.78,218706.31,12692.47,89021,76328.62,12692.38,3807.72,3173.1,634.62
"TREBOL DE 4, INC.",120701478,Joliet,2,36267.56,32835.39,3432.17,12202,8769.83,3432.17,1029.65,858.04,171.61
"Tree Guys Pizza Pub, Inc.",130705519,Itasca,5,514572.76,479049.88,35522.88,142209,106686.12,35522.88,10656.93,8880.78,1776.15
Tremont Post #1236 The American Legion,120905359,Tazewell County,3,35064.01,34081.43,982.58,10496,9513.42,982.58,294.77,245.64,49.13
"Treve Family Enterprises, Inc.",150702068,North Aurora,3,29195.29,28573.64,621.65,7921,7299.35,621.65,186.51,155.42,31.09
TREY & TOM CORP.,120700638,McHenry,2,63556.77,58228.36,5328.41,22740,17411.59,5328.41,1598.59,1332.16,266.43
Tri Cities Columbus Home Association,120711120,Granite City,5,498239.97,466178.26,32061.71,133899,101837.29,32061.71,9618.57,8015.48,1603.09
Tri City Post #113 of the American Legion,130900179,Granite City,4,72186.06,66263.12,5922.94,24066,18143.06,5922.94,1776.94,1480.78,296.16
"Tri-City Evergreen Post 2298, Veterans of Foreign Wars of the United States",130901772,West Dundee,3,134640,122813.08,11826.92,51853,40026.78,11826.22,3547.89,2956.58,591.31
Tri-County Country Club Inc.,140701420,Hancock County,3,2650.03,2381.24,268.79,536,267.21,268.79,80.65,67.21,13.44
TRI-COUNTY ROD AND GUN CLUB,160700781,Jersey County,3,142967.44,130861.66,12105.78,32369,20263.22,12105.78,3631.71,3026.42,605.29
"Trident Partners Champaign Station, LLC",150702588,Champaign,5,456402.86,427655.01,28747.85,154130,125382,28748,8624.45,7187.05,1437.4
"Trident Partners Decatur Airport Plaza, LLC",140702535,Decatur,5,933403.59,862693.39,70710.2,284097,213386.8,70710.2,21213.08,17677.57,3535.51
"Trident Partners Decatur Brettwood Village, LLC",140702537,Decatur,5,890729.11,813265.64,77463.47,278773,201309.43,77463.57,23239.17,19365.98,3873.19
"Trident Partners Decatur Crossings, LLC",140703997,Decatur,5,676645.32,614831.84,61813.48,224343,162529.42,61813.58,18544.12,15453.43,3090.69
"Trident Partners Urbana Five Points Commercial Center, LLC",150702589,Urbana,5,620078.9,566679.22,53399.68,211738,158338.32,53399.68,16019.92,13349.94,2669.98
Trifecta Management LLC,140701487,West Peoria,3,90066.34,82471.12,7595.22,28399,20803.44,7595.56,2278.64,1898.87,379.77
"TRIPLE 777, LLC",160701575,Chicago Ridge,5,224160.72,205859.13,18301.59,78807,60505.44,18301.56,5490.5,4575.42,915.08
"TRIPLE K & B SPORTS BAR, INC.",130702257,Huntley,4,187832.9,168646.16,19186.74,51918,32731.25,19186.75,5756.12,4796.77,959.35
"TRIPLE L AG SUPPLY, INC.",141003554,Macoupin County,5,170652.41,154654.42,15997.99,51514,35516.01,15997.99,4799.46,3999.55,799.91
TRISTAR GAS & FOOD MART INC.,121012627,Wadsworth,5,887863.49,808041.75,79821.74,287412,207299.26,80112.74,24033.89,20028.24,4005.65
"TRKYMIK, Inc.",150700932,Alton,5,285316.44,263972.59,21343.85,82313,60958.05,21354.95,6406.45,5338.71,1067.74
"Tropical Oasis, Inc.",130702310,Boone County,5,4176.52,3142.74,1033.78,1674,640.22,1033.78,310.15,258.46,51.69
"Troy Duede Enterprises, Incorporated",120700528,Peoria Heights,5,189874.21,173668.41,16205.8,58652,42446.2,16205.8,4861.78,4051.49,810.29
"Troy Duede Enterprises, Incorporated",120700533,East Peoria,5,420364.08,390721.32,29642.76,131764,102121.15,29642.85,8892.94,7410.78,1482.16
"Troy Grove Tavern, Inc.",140703438,Troy Grove,3,71021.88,65960.6,5061.28,21141,16079.72,5061.28,1518.38,1265.32,253.06
"TROY POST 976 VETERANS OF FOREIGN WARS OF THE UNITED STATES, INC.",120903920,Troy,4,343649.09,317902.88,25746.21,106756,81009.89,25746.11,7723.89,6436.58,1287.31
"Trucker's Pub, Inc.",130702141,Effingham,5,277777.01,261069.82,16707.19,81865,65157.37,16707.63,5012.31,4176.93,835.38
"Tuckaway Development, LLC",150701753,Will County,3,3577.94,3426.07,151.87,1421,1268.95,152.05,45.61,38.01,7.6
"Tucker Station, LLC",140701380,Mattoon,5,183913.64,175630.76,8282.88,51198,42915.12,8282.88,2484.93,2070.77,414.16
"Tucker Station, LLC",150702347,Toledo,5,177674.53,164163.08,13511.45,52663,39151.55,13511.45,4053.43,3377.86,675.57
Tucker's Pub LLC,160701192,Eldred,3,67713.05,63086.32,4626.73,21444,16817.27,4626.73,1388.04,1156.7,231.34
"Tuffy's Lounge, Inc.",120700713,Wilmington (Will),5,142618.6,127546.51,15072.09,47050,31977.88,15072.12,4521.77,3768.15,753.62
"Tully Monster, Inc.",120703324,Morris,3,43688.97,38790,4898.97,14101,9201.98,4899.02,1469.71,1224.76,244.95
"Tumble Inn, Inc.",120707138,Champaign,5,517268.97,467832.37,49436.6,167191,117754.43,49436.57,14831.04,12359.2,2471.84
"TUMBLES, INC.",120710085,Moline,3,72560.64,65587.64,6973,22493,15519.95,6973.05,2091.98,1743.31,348.67
Turn-Verein Frisch-AUF,120803496,Kane County,5,473973.43,439817.69,34155.74,122499,88343.36,34155.64,10246.82,8539.02,1707.8
"Turtle's Tap II, Inc.",120703789,Morris,5,466145.26,433358.59,32786.67,166159,133372.33,32786.67,9836.05,8196.71,1639.34
"Tuscany of Paris, Inc.",150702686,Paris,5,317609.99,293815.87,23794.12,88823,65028.88,23794.12,7138.24,5948.53,1189.71
"Tuscola Lodge No. 729, Loyal Order of Moose",120802150,Tuscola,5,190540.19,184128.48,6411.71,55701,49289.46,6411.54,1923.47,1602.9,320.57
TWIN OAKS CLUB,130705620,Adams County,2,30130.88,28328.96,1801.92,9076,7274.14,1801.86,540.55,450.45,90.1
"Twin Tavern & Discount Liquors, Inc.",150704009,DeKalb,3,212052.63,197094.48,14958.15,57764,42805.85,14958.15,4487.47,3739.56,747.91
"Twin-Dor, Inc.",120700531,Joliet,3,91846.55,83870.86,7975.69,30073,22097.31,7975.69,2392.77,1993.97,398.8
"TWISTED Q BBQ AND BAKERY, INC.",140703933,Homewood,5,240908.95,223923.76,16985.19,76506,59520.81,16985.19,5095.55,4246.3,849.25
Two Can Do Inc.,120700296,Peoria County,5,156988.85,148482.97,8505.88,44658,36152.12,8505.88,2551.8,2126.5,425.3
"TWO DOG SALOON, INC.",130700661,Roodhouse,5,124445.81,114338.65,10107.16,40540,30432.84,10107.16,3032.2,2526.83,505.37
"Two Lucky Aces, Inc.",120709658,Antioch,5,466179.37,425952.42,40226.95,148441,108214.05,40226.95,12068.13,10056.78,2011.35
"TWO MIKES, INC.",150700604,Burbank,5,392040.88,358393.07,33647.81,131701,97995.29,33705.71,10111.71,8426.42,1685.29
"TWO PAWS PUB, INC.",160704245,Paw Paw,4,6210.4,4607.34,1603.06,2696,1092.6,1603.4,481.08,400.9,80.18
"TWO SISTERS ON MAIN, LLC",160701174,Amboy,5,413623.21,384354.22,29268.99,117707,88438.01,29268.99,8780.71,7317.26,1463.45
"TWO-TOMS, INC.",130703356,Burbank,5,746257.1,680696.44,65560.66,221751,156190.21,65560.79,19668.24,16390.21,3278.03
"Twostep, Inc.",130705638,Bloomington,4,188235.72,178307.97,9927.75,58750,48822.22,9927.78,2978.38,2481.99,496.39
"TWT Holdings, Inc.",120711780,Waterman,3,70739.44,65435.14,5304.3,24247,18942.87,5304.13,1591.26,1326.05,265.21
TZONEV FOODS INC.,130705059,Elmwood Park,5,159779.14,147619.86,12159.28,57486,45326.78,12159.22,3647.79,3039.83,607.96
"UBB, INC",120709144,Quincy,2,242055.11,224724.91,17330.2,76861,59530.8,17330.2,5199.12,4332.6,866.52
Uffelman Corporation,120712223,Carbondale,5,532795.44,491173.41,41622.03,163540,121918.42,41621.58,12486.52,10405.43,2081.09
UFFELMAN CORPORATION,160703599,Carbondale,5,663342.7,617295.01,46047.69,213826,167778.31,46047.69,13814.41,11512.01,2302.4
"Uke-N-Dan's, Inc.",120701202,Fox River Grove,5,269465.04,248368.11,21096.93,85505,64408.26,21096.74,6329.15,5274.29,1054.86
Ulrich's Rebellion Room Inc.,150700155,Peoria,2,131919.55,126147.31,5772.24,43495,37722.76,5772.24,1731.69,1443.08,288.61
"Ultimate Lounge, Inc.",130700898,Villa Park,5,575322.19,538582.08,36740.11,146153,109412.89,36740.11,11022.07,9185.06,1837.01
"Uncle D's Hospitality, LLC",160700212,Wauconda,5,555468.6,512296.84,43171.76,168551,125379.59,43171.41,12951.47,10792.9,2158.57
Uncle Fester's LLC,160700842,Fairview Heights,5,442479.99,402160.54,40319.45,138287,97967.55,40319.45,12095.89,10079.91,2015.98
Uncle Fester's LLC,160704002,Swansea,5,115150.18,107191.91,7958.27,36088,28129.73,7958.27,2387.52,1989.6,397.92
"Uncle Richie's Place, Inc.",150700915,Lockport,4,197041.37,187175.03,9866.34,61456,51589.66,9866.34,2959.92,2466.61,493.31
Undergab Inc.,150703006,East Peoria,4,76874.12,72434.9,4439.22,23218,18778.78,4439.22,1331.81,1109.85,221.96
"Unique Suites Hotel Management, Inc.",130700154,Charleston,3,54622.98,51181.46,3441.52,15340,11898.54,3441.46,1032.45,860.38,172.07
"UNITED GRILL RESTAURANT, INC.",150704301,Cicero,5,773102.34,720629.08,52473.26,261412,208940.64,52471.36,15741.44,13117.87,2623.57
"UNIVERSAL RESTAURANT GROUP, INC.",120708647,DeKalb,4,99996.15,92760.56,7235.59,35897,28661.58,7235.42,2170.69,1808.91,361.78
"Up North Pub, Ltd.",140702754,Waukegan,5,255303.23,235036.05,20267.18,88885,68617.82,20267.18,6080.16,5066.8,1013.36
Uptown Grille Chebanse Corp.,130701680,Chebanse,3,17549.31,15984.46,1564.85,6148,4583.15,1564.85,469.47,391.23,78.24
Uthaiwan Wiitanen ,160701036,Elgin,5,51409.09,45112.85,6296.24,22905,16608.76,6296.24,1888.91,1574.1,314.81
Uzivati Inc.,150701531,Lanark,3,97470.97,90078.57,7392.4,31801,24408.6,7392.4,2217.7,1848.09,369.61
"V & H Recreation, Inc.",120708857,Breese,5,342879.93,315748.9,27131.03,95380,68248.97,27131.03,8139.32,6782.76,1356.56
"V & V GAMING, INC.",150701051,North Riverside,5,787003.67,731645.79,55357.88,257836,202478.11,55357.89,16607.5,13839.59,2767.91
"V-BAR, INC.",150700029,Berwyn,5,215696.79,200419.8,15276.99,77654,62377.11,15276.89,4583.09,3819.24,763.85
"V. Gardens, Inc.",120701476,Bridgeview,5,96925.25,92024.59,4900.66,25583,20682.09,4900.91,1470.3,1225.25,245.05
"V.F.W. Veterans Club, Inc.",120900149,McHenry,5,308865.49,285353.03,23512.46,103274,79761.55,23512.45,7053.76,5878.13,1175.63
"V.I.P. LOUNGE, INC.",120709091,Dolton,3,166419.76,154672.84,11746.92,65571,53824.08,11746.92,3524.12,2936.77,587.35
"V.M.O., INC.",120705057,Danville,5,242817.66,219733.87,23083.79,82022,58938.21,23083.79,6925.25,5771.04,1154.21
VAJ LLC,160700213,Chicago Ridge,5,168540.83,159288.29,9252.54,51244,41991.46,9252.54,2775.73,2313.11,462.62
Valbo's Restaurant Ltd.,120703715,Germantown,4,280521.16,263267.28,17253.88,74453,57199.15,17253.85,5176.16,4313.47,862.69
"Valencia Tap, LLC",160700187,Earlville,3,81457.33,77516.66,3940.67,27352,23411.33,3940.67,1182.19,985.16,197.03
Valerie J. Wilson,120704797,Dixon,4,171375.63,158460.9,12914.73,53502,40587.16,12914.84,3874.5,3228.76,645.74
"Valex, Inc.",130705093,Orland Hills,5,571455.7,535539.36,35916.34,164216,128291.96,35924.04,10777.26,8981.05,1796.21
VALLEY INN INC.,120702024,Palos Hills,5,338471.4,312895.68,25575.72,92505,66929.28,25575.72,7672.74,6393.95,1278.79
"Van Dyke Video Gaming, Inc",150703967,Decatur,5,690052,637048.28,53003.72,230259,177255.36,53003.64,15901.18,13250.98,2650.2
"Van Lenhardt, Incorporated",130706097,Alton,5,292410,265333.35,27076.65,88951,61874.35,27076.65,8123.09,6769.25,1353.84
"Van's Liquor Store, Inc.",120704623,East Dubuque,5,331402.12,312103.42,19298.7,80489,61190.3,19298.7,5789.65,4824.71,964.94
VANDALIA COUNTRY AND GOLF CLUB,130704189,Vandalia,5,131785.43,119722.72,12062.71,38749,26686.29,12062.71,3618.82,3015.69,603.13
"Vapari, Inc.",120700207,Algonquin,5,265950.2,244703.04,21247.16,83135,61888.08,21246.92,6374.16,5311.8,1062.36
"VARIEDADES EL RANCHITO, LLC",150701825,Fairmont City,5,98108.8,90979.58,7129.22,33744,26614.78,7129.22,2138.85,1782.38,356.47
"Variety Liquors, Inc.",120708465,Decatur,5,568752.68,524963.74,43788.94,180041,136252.47,43788.53,13136.65,10947.21,2189.44
"Vash, Inc.",130702977,Lake Villa,5,454355.76,422820.23,31535.53,156500,124964.47,31535.53,9460.73,7883.94,1576.79
Vedanta Inc.,130705877,Taylorville,5,390949.79,355544.89,35404.9,126193,90788.08,35404.92,10621.48,8851.23,1770.25
"VEE_J""S SPORTS GRILL LLC",140703635,Richton Park,4,99637.02,92875.86,6761.16,39191,32430.92,6760.08,2028.06,1690.05,338.01
"Vegas Slots & Gaming, Inc.",160702324,Sterling,5,792808.67,723855.59,68953.08,255176,186222.92,68953.08,20685.96,17238.3,3447.66
VENICE SOCIAL CLUB,120705007,Pontoon Beach,5,152725.81,135967.07,16758.74,42684,25925.26,16758.74,5027.63,4189.7,837.93
"Venus, Inc.",120700520,Rockford,5,445657.04,413011.93,32645.11,139504,106858.89,32645.11,9793.65,8161.38,1632.27
"VENUS, INC.",160700540,McHenry,5,385154.87,350578.15,34576.72,121466,86926.83,34539.17,10361.81,8634.85,1726.96
"VERNON MORRIS II & PHILIP EUGENE OVERTURF POST 5764 WEST FRANKFORT, IL",120908478,West Frankfort,3,64455.8,57097.84,7357.96,20085,12727.03,7357.97,2207.37,1839.48,367.89
Veterans Inn Incorporated,120704250,Dowell,5,318270.68,295008.01,23262.67,98349,75087.23,23261.77,6978.59,5815.49,1163.1
VETERANS OF FOREIGN WAR DEPT. OF ILL LEMONT 22 HONOR POST 5819,120902218,Lemont,5,233544.44,222725.26,10819.18,67740,56920.82,10819.18,3245.76,2704.8,540.96
VETERANS OF FOREIGN WARS ALBERT TUNBERG POST #2608,120902217,Dwight,4,102982.48,94433.32,8549.16,35592,27042.82,8549.18,2564.77,2137.31,427.46
Veterans of Foreign Wars Department of Illinois 1461 John Hugo Kaiser,120900507,Boone County,5,271619.37,249434.66,22184.71,84114,61928.64,22185.36,6655.68,5546.4,1109.28
Veterans of Foreign Wars Department of Illinois Goldsmith-Terry Post 3523,120905906,Carlyle,5,188874.94,175011.53,13863.41,55617,41753.79,13863.21,4158.99,3465.82,693.17
Veterans of Foreign Wars Morgan County Post #1379,120900711,Jacksonville,5,295255,273053.83,22201.17,90033,67831.9,22201.1,6660.33,5550.28,1110.05
VETERANS OF FOREIGN WARS OF THE UNITED STATES HAVANA POST NO. 6408,120902184,Havana,5,202161.46,187438.05,14723.41,60732,46008.59,14723.41,4417.08,3680.9,736.18
"Veterans of Foreign Wars of the United States, La Fore Lock Post No. 755",120902142,Springfield,5,369973.63,342909.41,27064.22,112294,85229.78,27064.22,8119.2,6766,1353.2
Veterans of Foreign Wars Post 8078,120908731,Kewanee,4,50922.33,45210.11,5712.22,20597,14884.78,5712.22,1713.66,1428.05,285.61
"VETERANS OF FOREIGN WARS, CASEY POST #5762",120901320,Casey,4,56546.75,51704.67,4842.08,16055,11213.41,4841.59,1452.5,1210.41,242.09
"Veterans of Foreign Wars, Jackson County Post #7190",120905400,Murphysboro,5,208631.04,195056.56,13574.48,65937,52362.58,13574.42,4072.33,3393.61,678.72
"Veterans of Foreign Wars, Post 1984, Inc.",130900124,Canton,5,308442.5,288935.58,19506.92,94054,74547.08,19506.92,5852.16,4876.81,975.35
VFW Post 7676 Gieseking-Schwerdtfeger,120902193,Altamont,5,96114.96,90301.73,5813.23,25670,19856.71,5813.29,1743.99,1453.32,290.67
VH Y ER Corp.,140704200,Brighton,2,14344.18,12419.97,1924.21,4193,2268.79,1924.21,577.29,481.07,96.22
Vic & Jim's Tap Inc.,130701183,Loves Park,4,138556.12,127683.12,10873,42040,31167,10873,3261.86,2718.21,543.65
Vic's Corner LLC,160701193,Rushville,3,42788.63,39973.84,2814.79,11614,8799.21,2814.79,844.48,703.74,140.74
Vicki Schwartz,130704638,Casey,2,10216.07,9054.14,1161.93,2616,1454.07,1161.93,348.57,290.48,58.09
Vicky Gendreau,120711281,Savanna,3,53033.54,48800.91,4232.63,16115,11882.37,4232.63,1269.82,1058.19,211.63
"Victoria Restaurant, Inc.",130706362,Northlake,3,100491.24,92884.22,7607.02,32018,24410.78,7607.22,2282.18,1901.82,380.36
Victory Lanes Inc.,120704195,Dwight,3,48287.61,46818.22,1469.39,17729,16259.51,1469.49,440.85,367.37,73.48
"VICTORY TAVERN, INC.",120704046,Abingdon,5,259375.13,239539.97,19835.16,64228,44392.84,19835.16,5950.6,4958.83,991.77
"Video Wonders, Inc.",120700203,Harvard,5,261116.51,238435.5,22681.01,85985,63304.09,22680.91,6804.34,5670.29,1134.05
Viking Inn Hanover LLC,160701378,Hanover,3,53221.53,50961.38,2260.15,14812,12551.89,2260.11,678.09,565.08,113.01
"Viking Lanes, Inc.",120700763,South Beloit,5,220516.45,198133.22,22383.23,79212,56828.82,22383.18,6715.01,5595.84,1119.17
"VILLA BLEU, INC.",140701597,Fox River Grove,3,89104.8,82274.33,6830.47,29170,22339.45,6830.55,2049.19,1707.66,341.53
VILLA NAPOLI L.T.D.,150702015,Norridge,5,348813.66,319271.83,29541.83,135462,105919.94,29542.06,8862.67,7385.56,1477.11
"Villa Park Post No. 2801, Veterans of Foreign Wars of the United State, Inc.",130900531,Villa Park,5,260960.4,239466.22,21494.18,71726,50231.82,21494.18,6448.34,5373.61,1074.73
"VILLAGE GARDEN RESTAURANT, INC.",120707907,Salem,5,165827.66,158260.91,7566.75,49941,42373.73,7567.27,2270.18,1891.82,378.36
"VILLAGE II, INC.",120703519,Champaign,4,44162.41,40213.45,3948.96,17201,13251.94,3949.06,1184.79,987.32,197.47
Village of Cahokia,130703812,Cahokia,3,64628.42,61372.4,3256.02,19844,16587.98,3256.02,976.79,814,162.79
Village of Glenwood,130705973,Glenwood,3,18633.6,17130.86,1502.74,7230,5727.01,1502.99,450.96,375.8,75.16
"Village of Moweaqua, IL",150700118,Moweaqua,3,49374.76,45333.06,4041.7,19220,15178.21,4041.79,1212.56,1010.47,202.09
Village of Worth,130701685,Worth,3,15514.17,13712.1,1802.07,3663,1860.98,1802.02,540.62,450.51,90.11
"Village Pizza and Pub, LLC",130705517,Carpentersville,4,199963.89,182099.93,17863.96,58707,40843.04,17863.96,5359.22,4466.02,893.2
Village Sportsmens Club,140703011,Alsip,5,243983.59,227207.43,16776.16,75188,58411.84,16776.16,5032.84,4194.03,838.81
"Village Squire of McHenry, Inc.",130702401,McHenry,5,456616.51,419877.89,36738.62,141628,104889.38,36738.62,11021.66,9184.72,1836.94
"Village Squire South, Inc.",120706654,South Elgin,5,190036.36,173762.95,16273.41,59088,42814.44,16273.56,4882.12,4068.43,813.69
"Village XIII,Inc.",140702784,Effingham,5,96607.53,88587.44,8020.09,35243,27222.75,8020.25,2406.12,2005.1,401.02
"Vincint Von Hart, LLC",140701035,Belleville,4,181759.66,163051.91,18707.75,61925,43217.45,18707.55,5612.36,4676.96,935.4
"Vinny's Gambling Cafe Group, Inc.",140704307,Berwyn,5,293615.71,268937.1,24678.61,89982,65303.57,24678.43,7403.55,6169.63,1233.92
"VINO'S BAR & GRILL, INC.",130706236,Gardner,4,36361.95,33850.24,2511.71,12759,10247.45,2511.55,753.47,627.89,125.58
VIP BAR AND GRILL DANCE CLUB LLC,160702670,Country Club Hills,3,46885.74,43781.55,3104.19,19285,16180.81,3104.19,931.32,776.1,155.22
VIRBAI INC.,150701141,Round Lake,5,497285.7,466413.84,30871.86,120246,89374.14,30871.86,9261.66,7718.06,1543.6
"VIRBAPA, INC.",130704560,Dwight,4,104268.16,96803.49,7464.67,32560,25095.33,7464.67,2239.47,1866.23,373.24
